PLAYER;TEAM;AGE;GP;G;FREQ;FGM;FGA;FG%;EFG%;2FG FREQ;2FGM;2FGA;2FG%;3FG FREQ;3PM;3PA;3P%;NONE
Grayson Allen;PHX;28;46;47;100;4.1;8.1;50.7;65.4;38.6;1.7;3.1;55.0;61.4;2.4;5.0;48.0
Mike Conley;MIN;36;47;47;100;3.6;8.1;44.6;59.2;34.9;1.3;2.8;44.5;65.1;2.4;5.3;44.7
Brandin Podziemski;GSW;20;44;43;100;3.7;8.1;45.8;52.7;61.2;2.6;5.0;52.3;38.8;1.1;3.1;35.4
Josh Richardson;MIA;30;42;42;100;3.6;8.1;45.0;54.6;45.6;2.1;3.7;56.4;54.4;1.6;4.4;35.4
GG Jackson;MEM;19;21;20;100;3.5;8.0;43.5;53.3;48.2;1.9;3.9;49.2;51.8;1.6;4.1;37.9
Kentavious Caldwell-Pope;DEN;30;48;48;100;3.6;8.0;45.3;54.6;51.3;2.1;4.1;52.2;48.7;1.5;3.9;38.1
Luke Kennard;MEM;27;25;25;100;3.5;8.0;43.7;60.6;24.6;0.8;2.0;40.8;75.4;2.7;6.0;44.7
Mark Williams;CHA;22;19;19;100;5.2;8.0;64.9;64.9;100;5.2;8.0;64.9;0.0;0.0;0.0;
Dorian Finney-Smith;BKN;30;42;42;100;3.2;8.0;40.7;53.4;31.4;1.2;2.5;48.4;68.6;2.0;5.5;37.1
Rudy Gobert;MIN;31;51;51;100;5.2;7.9;64.9;64.9;99.5;5.2;7.9;65.3;0.5;0.0;0.0;0.0
Jordan Hawkins;NOP;21;47;46;100;3.2;7.9;40.4;53.1;34.2;1.2;2.7;44.1;65.8;2.0;5.2;38.5
Herbert Jones;NOP;25;47;47;100;3.9;7.8;50.1;59.5;55.0;2.5;4.3;57.2;45.0;1.5;3.5;41.6
Taurean Prince;LAL;29;50;49;100;3.4;7.8;43.4;55.6;35.2;1.5;2.8;53.6;64.8;1.9;5.1;37.8
David Roddy;PHX;22;48;46;100;3.1;7.8;40.2;46.4;59.0;2.2;4.6;46.9;41.0;1.0;3.2;30.5
Cody Martin;CHA;28;20;20;100;2.9;7.8;37.4;44.2;60.0;1.9;4.7;39.8;40.0;1.1;3.1;33.9
Ivica Zubac;LAC;26;41;41;100;5.1;7.7;65.9;65.9;100;5.1;7.7;66.0;0.0;0.0;0.0;
Georges Niang;CLE;30;51;51;100;3.4;7.7;43.4;54.6;37.6;1.6;2.9;56.2;62.4;1.7;4.8;35.9
Andrew Nembhard;IND;24;40;39;100;3.7;7.7;48.4;53.2;71.1;3.0;5.5;54.4;28.9;0.8;2.2;33.6
Tre Jones;SAS;24;48;48;100;3.8;7.7;49.9;54.1;70.5;3.2;5.4;58.9;29.5;0.7;2.3;28.6
Wendell Carter Jr.;ORL;24;27;27;100;4.0;7.7;52.2;59.9;62.8;2.8;4.8;58.4;37.2;1.2;2.9;41.8
Chris Paul;GSW;38;32;32;100;3.3;7.7;42.4;51.2;51.4;1.9;3.9;48.5;48.6;1.3;3.7;36.0
Marvin Bagley III;WAS;24;35;35;100;4.4;7.6;58.5;58.9;96.2;4.4;7.3;59.9;3.8;0.1;0.3;20.7
Ayo Dosunmu;CHI;24;51;51;100;3.8;7.6;50.0;58.3;58.3;2.5;4.4;57.4;41.7;1.3;3.2;39.6
